Timestamp,x_err,y_err,x_out,y_out,a_theta,b_theta,c_theta
1780991377.918143,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991377.988152,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991377.988597,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991377.988988,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991377.989363,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991377.9897358,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991377.997683,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.0127208,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.027924,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.117179,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.11758,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.1179452,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.118311,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.1186712,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.119034,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.122112,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.136946,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.163083,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.163491,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.1772401,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.1883268,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.2031229,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.214798,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.229604,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.2442062,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.280216,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.280631,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.2846029,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.29543,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.310288,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.321255,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.336086,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.350948,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.3903239,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.39075,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.3912692,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.402303,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.4169338,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.427839,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.4424691,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.4572139,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.4926069,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.493147,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.497761,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.5091572,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.523294,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.535062,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.5496728,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.564236,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.5752041,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.59004,0.0,0.0,0.0,0.0,258.008,258.008,258.008
1780991378.604716,0.0,0.0,0.0,0.0,258.008,258.008,258.008
